code,product_name,nutri-score-cat,sugars_cat,fat_cat
70038602972,"low fat ice cream, vanilla",C,Très sucré,peu gras
70038602996,neapolitan ice cream,D,Très sucré,peu gras
70038603009,ice cream,D,Très sucré,peu gras
70038603016,ice cream,D,Très sucré,Très gras
70038606550,chocolate ice cream,D,Très sucré,peu gras
70038618973,light ice cream,C,Très sucré,peu gras
70038618997,premium churn style light ice cream,D,Très sucré,peu gras
70038642084,premium ice cream,D,Très sucré,Très gras
70038642091,premium ice cream,C,Très sucré,Très gras
70038642107,butter pecan premium ice cream,D,Très sucré,Très gras
70038642114,neapolitan premium ice cream,D,Très sucré,Très gras
70038642138,premium ice cream,D,Très sucré,peu gras
70253703256,ice cream,D,Très sucré,peu gras
70253703317,"premium ice cream, chocolate cherry bordeaux",D,Très sucré,Très gras
70253703331,premiumice cream,D,Très sucré,Très gras
70253703355,premium chocolate fudge brownie ice cream,D,Très sucré,peu gras
70253703379,ice cream,D,Très sucré,Très gras
70424064001,ice cream,D,Très sucré,Très gras
70424064056,butter pecan premium ice cream,D,Très sucré,Très gras
70424065510,fresh food neapolitan ice cream,D,Très sucré,Très gras
70424081541,premium ice cream,D,Très sucré,Très gras
70438100108,"ice cream, vanilla",D,Très sucré,Très gras
70438101051,"ice cream, strawberry shortcake",D,Très sucré,peu gras
70438101068,"grand hotel summer celebration, ice cream & sherbet",C,Très sucré,peu gras
70438101129,"ice cream, mackinac, island fudge",D,Très sucré,Très gras
70438101174,"ice cream, vanilla bean",D,Très sucré,Très gras
70438101181,"ice cream, neapolitan",D,Très sucré,peu gras
70438101204,"ice cream, orange pineapple",D,Très sucré,peu gras
70438101235,"ice cream & sherbet, orange cream swirl",C,Très sucré,peu gras
70438101242,"ice cream, turtle sundae",D,Très sucré,Très gras
70438101273,french silk ice cream,D,Très sucré,Très gras
70438101341,"mint chocolate chip ice cream, mint, chocolate chip",D,Très sucré,Très gras
70438101365,"chocolate ice cream, chocolate",C,Très sucré,peu gras
70438101525,"ice cream, cookies'n cream",D,Très sucré,Très gras
70438101648,"ice cream, superscoop",D,Très sucré,Très gras
70438101662,"blue moon ice cream, blue moon",D,Très sucré,Très gras
70438101792,"ice cream, caramel, deer traxx",D,Très sucré,Très gras
70438102102,"ice cream, black cherry",D,Très sucré,peu gras
70438102140,strawberry cheesecake ice cream,D,Très sucré,peu gras
70438102287,"french vanilla ice cream, french vanilla",D,Très sucré,Très gras
70438102300,"ice cream, butter pecan",D,Très sucré,Très gras
70438102409,"double chocolate almond ice cream, double chocolate almond",D,Très sucré,Très gras
70438102492,"ice cream, triple peanut butter cup",D,Très sucré,Très gras
70438102522,"ice cream, chocolate chip, cookie dough",D,Très sucré,Très gras
70438102539,"deer traxx, ice cream, michigan deer traxx",D,Très sucré,Très gras
70438102553,"ice cream, sleeping bear dunes, bear hugs",D,Très sucré,Très gras
70438105066,"ice cream, grand traverse bay cherry fudge",D,Très sucré,Très gras
70438201126,"ice cream, seaside caramel",D,Très sucré,Très gras
70438480019,"ice cream, old fashioned vanilla",D,Très sucré,Très gras
70438480026,"ice cream, chocolate",D,Très sucré,Très gras
70438480040,"ice cream, camp coffee",D,Très sucré,Très gras
70438480316,ice cream,D,Très sucré,Très gras
70438480347,ice cream,D,Très sucré,Très gras
70438480811,"vanilla ice cream, muddy boots",D,Très sucré,Très gras
70438481528,"denali, moose tracks ice cream",D,Très sucré,Très gras
70494101958,"hiland, ice cream, country vanilla",D,Très sucré,peu gras
70547014983,"choco taco, artificially flavored vanilla light* ice cream with a chocolate flavored swirl in a sugar taco with milk chocolate flavored coating and peanuts",D,Très sucré,Très gras
70640000500,"premium ice cream, mint chocolate chip",D,Très sucré,Très gras
70640000517,"ice cream, neapolitan",D,Très sucré,peu gras
70640001224,"premium ice cream, chocolate",C,Très sucré,peu gras
70640002061,"sherbet ice cream, lime",C,Très sucré,Sans gras
70640002092,rainbow sherbet ice cream,C,Très sucré,Sans gras
70640002924,"ice cream, vanilla bean",D,Très sucré,Très gras
70640002948,"ice cream, chocolate",D,Très sucré,Très gras
70640002955,banana split ice cream,D,Très sucré,peu gras
70640002962,ice cream,D,Très sucré,Très gras
70640003099,"sweet freedom, light ice cream, chocolate",A,peu sucré,peu gras
70640003105,"sweet freedom, light ice cream, mint chocolate chip",C,peu sucré,peu gras
70640003198,"reduced fat ice cream cones, cookies 'n cream",D,Très sucré,Très gras
70640004423,"treats, low fat ice cream, strawberry",C,Très sucré,peu gras
70640004430,"treats, ice cream, vanilla",C,Très sucré,peu gras
70640004478,"light ice cream, red carpet red velvet cake",C,Très sucré,peu gras
70640004508,blu's birthday party ice cream,D,Très sucré,Très gras
70640004607,"ice cream, banana split",D,Très sucré,peu gras
70640004614,"bunny tracks ice cream, vanilla",D,Très sucré,Très gras
70640004621,"ice cream, double strawberry",C,Très sucré,peu gras
70640004638,"ice cream, peanut butter party",D,Très sucré,Très gras
70640004645,super chunky cookie dough ice cream,D,Très sucré,Très gras
70640004652,"ice cream, super fudge brownie",C,Très sucré,Très gras
70640004669,"premium ice cream, turtle sundae",D,Très sucré,Très gras
70640004867,"sweet freedom, low fat ice cream mini cones, vanilla",B,peu sucré,Très gras
70640005185,"treats, neapolitan ice cream sandwiches, chocolate, strawberry and vanilla",D,Très sucré,peu gras
70640005536,"treats, ice cream, vanilla",D,Très sucré,Très gras
70640005963,ice cream,D,Très sucré,Très gras
70640006090,ice cream bars,B,peu sucré,peu gras
70640006595,"blue ribbon classics, reduced fat ice cream, root beer float",C,Très sucré,peu gras
70640006700,"treats, reduced fat ice cream bars, caramel crunch",D,Très sucré,Très gras
70640006854,premium ice cream,D,Très sucré,Très gras
70640006861,chocolate ice cream,D,Très sucré,Très gras
70640006878,super premium vanilla ice cream,D,Très sucré,Très gras
70640006885,2nd st. creamery super premium ice cream,D,Très sucré,Très gras
70640006892,premium ice cream,D,Très sucré,Très gras
70640006908,super premium ice cream,D,Très sucré,Très gras
70640006915,ice cream,E,Très sucré,Très gras
70640006922,ice cream,D,Très sucré,Très gras
70640006946,caramel ice cream with caramel ribbon and sea salt caramel fudge truffles,E,Très sucré,Très gras
70640006953,cookie dough flavored ice cream with cookie dough swirls and chunks of chocolate and chocolate chip cookie dough,D,Très sucré,Très gras
70640006984,super premium ice cream,D,Très sucré,Très gras
70640007431,"ice cream bars, strawberry shortcake",D,Très sucré,Très gras
70640007615,ice cream,C,Très sucré,peu gras
70640007929,"birthday party, reduced fat ice cream sandwiches",C,Très sucré,peu gras
70640007936,"reduced fat ice cream sandwiches, simply vanilla",C,Très sucré,peu gras
70640007943,"ice cream sandwiches, chocolate lovers",D,Très sucré,peu gras
70640007967,"reduced fat ice cream, neapolitan sandwiches",C,Très sucré,peu gras
70640007998,premium light ice cream,C,Très sucré,peu gras
70640008742,"premium ice cream, vanilla bean",D,Très sucré,Très gras
70640008759,"premium ice cream, banana split",C,Très sucré,peu gras
70640008766,"ice cream, birthday party",D,Très sucré,peu gras
70640008827,"premium cookies & cream ice cream, vanilla",D,Très sucré,Très gras
70640008834,"ice cream, double strawberry",D,Très sucré,peu gras
70640008841,premium french vanilla ice cream,D,Très sucré,Très gras
70640008858,chocolate ice cream,D,Très sucré,Très gras
70640008865,"premium ice cream, homemade turtle sundae",D,Très sucré,Très gras
70640008889,"ice cream, mint chocolate chip",D,Très sucré,Très gras
70640008896,premium neapolitan ice cream,D,Très sucré,peu gras
70640008902,"sweet freedom, light ice cream, banana split",D,Très sucré,Très gras
70640008940,rocky road ice cream,D,Très sucré,peu gras
70640009169,"sweet freedom, light ice cream, cherry vanilla",A,peu sucré,peu gras
70640009473,"premium ice cream, coffee break",D,Très sucré,peu gras
70640009541,"reduced fat ice cream cones, hot fudge",D,Très sucré,Très gras
70640009558,"reduced fat ice cream cones, vanilla",D,Très sucré,Très gras
70640009916,"reduced fat ice cream cones, chocolate lovers",D,Très sucré,Très gras
70640009923,"reduced fat ice cream cones, cookies 'n cream",D,Très sucré,Très gras
70640010011,premium ice cream sandwiches,D,Très sucré,peu gras
70640010134,"blue ribbon classics, light ice cream, banana split",C,Très sucré,peu gras
70640010141,blue ribbon classics light ice cream,C,Très sucré,peu gras
70640010189,"blue ribbon classics, light ice cream, butter pecan",C,Très sucré,peu gras
70640010202,"blue ribbon classics, light ice cream, chocolate",C,Très sucré,peu gras
70640010219,ribbon light ice cream,C,Très sucré,peu gras
70640010226,"blue ribbon classics, light ice cream, chocolate chip",C,Très sucré,peu gras
70640010233,"blue ribbon classics, chocolate chip cookie dough light ice cream",C,Très sucré,peu gras
70640010264,"blue ribbon classics, light ice cream, butter brickle",D,Très sucré,peu gras
70640010271,"blue ribbon classics, light ice cream, cherry nut",C,Très sucré,peu gras
70640010288,blue ribbon classics light ice cream,C,Très sucré,peu gras
70640010295,"blue ribbon classic, light ice cream, homemade vanilla",C,Très sucré,peu gras
70640010301,light ice cream,C,Très sucré,peu gras
70640010318,"blue ribbon classics, light ice cream, mint chip",C,Très sucré,peu gras
70640010325,"blue ribbon, light ice cream, neapolitan",C,Très sucré,peu gras
70640010332,"blue ribbon classics, light ice cream, orange dream",C,Très sucré,peu gras
70640010349,"blue ribbon classics, light ice cream, ozark black walnut",C,Très sucré,peu gras
70640010356,"blue ribbon classics, light ice cream, peanut butter brownie",C,Très sucré,Très gras
70640010370,"blue ribbon classics, light ice cream, strawberry",C,Très sucré,peu gras
70640010387,light ice cream,C,Très sucré,peu gras
70640010394,"blue ribbon classics, light ice cream, tin roof sundae",C,Très sucré,peu gras
70640010400,"blue ribbon classics, light ice cream, vanilla",C,Très sucré,peu gras
70640010554,"ice cream bars, caramello",E,Très sucré,Très gras
70640010561,"ice cream bars, chocolate almond",E,Très sucré,Très gras
70640010585,"ice cream bars, english toffee",E,Très sucré,Très gras
70640010837,reduced fat ice cream,D,Très sucré,Très gras
70640010868,"mini swirls, reduced fat ice cream, vanilla",E,Très sucré,Très gras
70640010875,"mini swirls, reduced fat ice cream, chocolate",D,Très sucré,Très gras
70640010882,"mini swirls, reduced fat ice cream, caramel",E,Très sucré,Très gras
70640010899,"reduced fat ice cream, birthday party mini swirls",E,Très sucré,Très gras
70640010905,"ice cream bars, vanilla",D,Très sucré,Très gras
70640010981,premium ice cream,D,Très sucré,Très gras
70640010998,"premium ice cream, hot chocolate con churros",D,Très sucré,Très gras
70640011001,premium ice cream,D,Très sucré,peu gras
70640011100,"ice cream, coconut mango swirl",C,Très sucré,peu gras
70640011131,ice cream,D,Très sucré,peu gras
70640011209,ice cream,D,Très sucré,Très gras
70640011247,ice cream,C,Très sucré,peu gras
70640011575,"blue ribbon classics, reduced fat ice cream, vanilla",C,Très sucré,peu gras
70640011599,"blue ribbon classics, cookies 'n cream reduced fat ice cream with cookie bits, vanilla",D,Très sucré,peu gras
70640011605,"blue ribbon, half chocolate and half artificially flavored vanilla reduced fat ice cream, chocolate & vanilla",C,Très sucré,peu gras
70640011612,"blue ribbon classics, reduced fat ice cream",C,Très sucré,peu gras
70640011629,"blue ribbon classics, reduce fat vanilla ice cream, chocolate chip",D,Très sucré,peu gras
70640011636,blue ribbon classics reduced fat ice cream,C,Très sucré,peu gras
70640011643,"blue ribbon classics, fudge ribbon swirled reduced fat ice cream, vanilla",C,Très sucré,peu gras
70640011650,"blue ribbon classics, reduced fat ice cream, strawberry marble",C,Très sucré,peu gras
70640011667,"blue ribbon classics, family size chocolate reduced fat ice cream",C,Très sucré,peu gras
70640011674,reduced fat ice cream,D,Très sucré,peu gras
70640011698,family size hi lite ice cream,C,Très sucré,peu gras
70640011841,premium ice cream,D,Très sucré,Très gras
70640011872,light ice cream,C,Très sucré,peu gras
70640011971,"sweet freedom, ice cream bars, vanilla",D,peu sucré,Très gras
70640011988,"sweet freedom, ice cream bars, vanilla krunch",D,peu sucré,Très gras
70640011995,"funwich, ice cream bars",D,Très sucré,Très gras
70640012282,"ice cream, vanilla bean",D,Très sucré,Très gras
70640012299,"ice cream, super fudge brownie",D,Très sucré,Très gras
70640012350,"ice cream, bunny tracks",D,Très sucré,Très gras
70640012374,"ice cream, bunny tracks",D,Très sucré,Très gras
70640012381,"ice cream, banana",D,Très sucré,peu gras
70640012398,"ice cream, blu's birthday party",D,Très sucré,Très gras
70640012404,"cherry pickin' chocolate, cherry ice cream, cherry chunks, dark chocolate flakes",D,Très sucré,Très gras
70640012411,"ice cream, peanut butter party, peanut butter ice cream, peanut butter and fudge swirls, peanut butter cups",D,Très sucré,Très gras
70640012428,"ice cream, red velvet cupcake",D,Très sucré,Très gras
70640012435,"cookie dough ice cream, super chunky cookie dough",D,Très sucré,Très gras
70640012442,"ice cream, super fudge brownie",D,Très sucré,Très gras
70640012459,"ice cream, butter pecan",D,Très sucré,Très gras
70640012473,"ice cream, chocolate",D,Très sucré,Très gras
70640012497,chunky chocolate chip ice cream,D,Très sucré,Très gras
70640012534,"ice cream, double strawberry",C,Très sucré,peu gras
70640012572,"homemade vanilla flavored ice cream, vanilla",D,Très sucré,Très gras
70640012596,"ice cream, mint chocolate chip",D,Très sucré,Très gras
70640012619,"ice cream, neapolitan",C,Très sucré,peu gras
70640012633,"ice cream, pistachio almond",C,Très sucré,Très gras
70640012657,"ice cream, rocky road",C,Très sucré,peu gras
70640012671,"ice cream, toasted almond fudge",C,Très sucré,Très gras
70640012695,"ice cream, vanilla",D,Très sucré,Très gras
70640012732,"sweet freedom, light ice cream, banana split",A,peu sucré,peu gras
70640012770,"sweet freedom, light ice cream, butter pecan",A,peu sucré,peu gras
70640012794,"sweet freedom, light ice cream, cherry vanilla",A,peu sucré,peu gras
70640012817,"sweet freedom, light ice cream, chocolate",A,peu sucré,peu gras
70640012831,"sweet freedom, light ice cream, double strawberry",A,peu sucré,peu gras
70640012879,"sweet freedom, light ice cream, vanilla",A,peu sucré,peu gras
70640013098,"ice cream, salted caramel craze",D,Très sucré,Très gras
70640013111,"ice cream, vanilla cupcake",D,Très sucré,Très gras
70640013159,"premium ice cream, s'more please",D,Très sucré,Très gras
70640013197,"ice cream, mocha me hoppy",D,Très sucré,peu gras
70640013210,"ice cream, mint chocolate chip",D,Très sucré,Très gras
70640013227,"sea salt caramel ice cream, salted caramel craze",D,Très sucré,Très gras
